************************************************************************************************************************************
*    Row   *        ix *      valx *       iQQ *     valQQ *        iz *      valz *      iPT2 *    valPT2 *        Ac *       Acc *
*      211 *         2 * 0.3499999 *         1 * 2.4000001 *         2 * 0.3499999 *         1 * 0.3000000 * -0.049859 * 0.0184068 *
*      212 *         2 * 0.3499999 *         1 * 2.4000001 *         2 * 0.3499999 *         2 *       0.5 * -0.064367 * 0.0306778 *
*      213 *         2 * 0.3499999 *         1 * 2.4000001 *         2 * 0.3499999 *         3 * 0.6999999 * -0.076161 * 0.0429497 *
*      215 *         2 * 0.3499999 *         1 * 2.4000001 *         3 * 0.4499999 *         0 * 0.1000000 * -0.026891 * 0.0049966 *
*      216 *         2 * 0.3499999 *         1 * 2.4000001 *         3 * 0.4499999 *         1 * 0.3000000 * -0.046578 * 0.0149904 *
*      217 *         2 * 0.3499999 *         1 * 2.4000001 *         3 * 0.4499999 *         2 *       0.5 * -0.060132 * 0.0249838 *
*      218 *         2 * 0.3499999 *         1 * 2.4000001 *         3 * 0.4499999 *         3 * 0.6999999 * -0.071150 * 0.0349780 *
*      220 *         2 * 0.3499999 *         1 * 2.4000001 *         4 * 0.5500000 *         0 * 0.1000000 * -0.025768 * 0.0036364 *
*      221 *         2 * 0.3499999 *         1 * 2.4000001 *         4 * 0.5500000 *         1 * 0.3000000 * -0.044632 * 0.0109098 *
*      222 *         2 * 0.3499999 *         1 * 2.4000001 *         4 * 0.5500000 *         2 *       0.5 * -0.057620 * 0.0181828 *
*      223 *         2 * 0.3499999 *         1 * 2.4000001 *         4 * 0.5500000 *         3 * 0.6999999 * -0.068177 * 0.0254564 *
*      225 *         2 * 0.3499999 *         1 * 2.4000001 *         5 * 0.6499999 *         0 * 0.1000000 * -0.025125 * 0.0022922 *
*      226 *         2 * 0.3499999 *         1 * 2.4000001 *         5 * 0.6499999 *         1 * 0.3000000 * -0.043519 * 0.0068768 *
*      227 *         2 * 0.3499999 *         1 * 2.4000001 *         5 * 0.6499999 *         2 *       0.5 * -0.056183 * 0.0114613 *
*      230 *         2 * 0.3499999 *         1 * 2.4000001 *         6 *      0.75 *         0 * 0.1000000 * -0.025264 * 0.0011773 *
*      231 *         2 * 0.3499999 *         1 * 2.4000001 *         6 *      0.75 *         1 * 0.3000000 * -0.043760 * 0.0035321 *
*      232 *         2 * 0.3499999 *         1 * 2.4000001 *         6 *      0.75 *         2 *       0.5 * -0.056493 * 0.0058868 *
*      235 *         2 * 0.3499999 *         1 * 2.4000001 *         7 * 0.8500000 *         0 * 0.1000000 * -0.027036 * 0.0004110 *
*      240 *         3 * 0.4499999 *         0 *       2.5 *         0 * 0.1500000 *         0 * 0.1000000 * -0.021279 * 0.0035069 *
*      245 *         3 * 0.4499999 *         0 *       2.5 *         1 *      0.25 *         0 * 0.1000000 * -0.016397 * 0.0034640 *
*      246 *         3 * 0.4499999 *         0 *       2.5 *         1 *      0.25 *         1 * 0.3000000 * -0.028401 * 0.0103925 *
*      250 *         3 * 0.4499999 *         0 *       2.5 *         2 * 0.3499999 *         0 * 0.1000000 * -0.014391 * 0.0030843 *
*      251 *         3 * 0.4499999 *         0 *       2.5 *         2 * 0.3499999 *         1 * 0.3000000 * -0.024926 * 0.0092535 *
*      255 *         3 * 0.4499999 *         0 *       2.5 *         3 * 0.4499999 *         0 * 0.1000000 * -0.013429 * 0.0025091 *
*      256 *         3 * 0.4499999 *         0 *       2.5 *         3 * 0.4499999 *         1 * 0.3000000 * -0.023261 * 0.0075276 *
*      260 *         3 * 0.4499999 *         0 *       2.5 *         4 * 0.5500000 *         0 * 0.1000000 * -0.012852 * 0.0018238 *
